Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink
Histidine metabolism,KEGG PATHWAY,hsa00340,5,23,6.69E-10,4.38E-09,219|217|224|223|501,http://www.genome.jp/kegg-bin/show_pathway?hsa00340/hsa:224%09red/hsa:219%09red/hsa:501%09red/hsa:223%09red/hsa:217%09red
Ascorbate and aldarate metabolism,KEGG PATHWAY,hsa00053,5,27,1.36E-09,8.18E-09,219|217|224|223|501,http://www.genome.jp/kegg-bin/show_pathway?hsa00053/hsa:224%09red/hsa:219%09red/hsa:501%09red/hsa:223%09red/hsa:217%09red
Biosynthesis of amino acids,KEGG PATHWAY,hsa01230,6,75,2.91E-09,1.61E-08,7167|22934|229|5211|226|230,http://www.genome.jp/kegg-bin/show_pathway?hsa01230/hsa:230%09red/hsa:226%09red/hsa:22934%09red/hsa:229%09red/hsa:5211%09red/hsa:7167%09red
Fructose and mannose metabolism,KEGG PATHWAY,hsa00051,5,33,3.38E-09,1.74E-08,226|230|7167|229|5211,http://www.genome.jp/kegg-bin/show_pathway?hsa00051/hsa:5211%09red/hsa:230%09red/hsa:226%09red/hsa:229%09red/hsa:7167%09red
Pyruvate metabolism,KEGG PATHWAY,hsa00620,5,39,7.25E-09,3.48E-08,219|217|224|223|501,http://www.genome.jp/kegg-bin/show_pathway?hsa00620/hsa:224%09red/hsa:219%09red/hsa:501%09red/hsa:223%09red/hsa:217%09red
"Valine, leucine and isoleucine degradation",KEGG PATHWAY,hsa00280,5,48,1.90E-08,8.53E-08,219|217|224|223|501,http://www.genome.jp/kegg-bin/show_pathway?hsa00280/hsa:224%09red/hsa:219%09red/hsa:501%09red/hsa:223%09red/hsa:217%09red
Arginine and proline metabolism,KEGG PATHWAY,hsa00330,5,50,2.29E-08,9.71E-08,219|217|224|223|501,http://www.genome.jp/kegg-bin/show_pathway?hsa00330/hsa:224%09red/hsa:219%09red/hsa:501%09red/hsa:223%09red/hsa:217%09red
AMPK signaling pathway,KEGG PATHWAY,hsa04152,6,120,4.18E-08,1.60E-07,79966|5211|1375|1374|126129|6319,http://www.genome.jp/kegg-bin/show_pathway?hsa04152/hsa:126129%09red/hsa:6319%09red/hsa:1375%09red/hsa:1374%09red/hsa:79966%09red/hsa:5211%09red
Fatty acid metabolism,KEGG PATHWAY,hsa01212,5,57,4.23E-08,1.60E-07,79966|6319|1375|1374|126129,http://www.genome.jp/kegg-bin/show_pathway?hsa01212/hsa:6319%09red/hsa:1375%09red/hsa:1374%09red/hsa:126129%09red/hsa:79966%09red
Lysine degradation,KEGG PATHWAY,hsa00310,5,59,4.97E-08,1.75E-07,219|217|224|223|501,http://www.genome.jp/kegg-bin/show_pathway?hsa00310/hsa:224%09red/hsa:219%09red/hsa:501%09red/hsa:223%09red/hsa:217%09red
One carbon pool by folate,KEGG PATHWAY,hsa00670,4,20,5.09E-08,1.75E-07,10797|4524|441024|4522,http://www.genome.jp/kegg-bin/show_pathway?hsa00670/hsa:441024%09red/hsa:4522%09red/hsa:10797%09red/hsa:4524%09red
Glycerolipid metabolism,KEGG PATHWAY,hsa00561,5,61,5.82E-08,1.90E-07,219|217|224|223|501,http://www.genome.jp/kegg-bin/show_pathway?hsa00561/hsa:224%09red/hsa:219%09red/hsa:501%09red/hsa:223%09red/hsa:217%09red
PPAR signaling pathway,KEGG PATHWAY,hsa03320,5,76,1.64E-07,5.13E-07,79966|6319|1375|1374|126129,http://www.genome.jp/kegg-bin/show_pathway?hsa03320/hsa:6319%09red/hsa:1375%09red/hsa:1374%09red/hsa:126129%09red/hsa:79966%09red
Inositol phosphate metabolism,KEGG PATHWAY,hsa00562,4,74,6.43E-06,1.93E-05,5288|7167|5287|5286,http://www.genome.jp/kegg-bin/show_pathway?hsa00562/hsa:5288%09red/hsa:5287%09red/hsa:5286%09red/hsa:7167%09red
Chemical carcinogenesis,KEGG PATHWAY,hsa05204,4,82,9.49E-06,2.73E-05,1544|1545|1543|1557,http://www.genome.jp/kegg-bin/show_pathway?hsa05204/hsa:1557%09red/hsa:1544%09red/hsa:1543%09red/hsa:1545%09red
Galactose metabolism,KEGG PATHWAY,hsa00052,3,31,1.96E-05,5.42E-05,55276|5236|5211,http://www.genome.jp/kegg-bin/show_pathway?hsa00052/hsa:5236%09red/hsa:5211%09red/hsa:55276%09red
Glucagon signaling pathway,KEGG PATHWAY,hsa04922,4,106,2.51E-05,6.69E-05,126129|1375|1374|5211,http://www.genome.jp/kegg-bin/show_pathway?hsa04922/hsa:5211%09red/hsa:1375%09red/hsa:1374%09red/hsa:126129%09red
HIF-1 signaling pathway,KEGG PATHWAY,hsa04066,4,109,2.79E-05,7.17E-05,226|230|229|5211,http://www.genome.jp/kegg-bin/show_pathway?hsa04066/hsa:5211%09red/hsa:230%09red/hsa:226%09red/hsa:229%09red
Starch and sucrose metabolism,KEGG PATHWAY,hsa00500,3,36,2.97E-05,7.38E-05,55276|2821|5236,http://www.genome.jp/kegg-bin/show_pathway?hsa00500/hsa:5236%09red/hsa:55276%09red/hsa:2821%09red
Amino sugar and nucleotide sugar metabolism,KEGG PATHWAY,hsa00520,3,48,6.68E-05,0.000160432,55276|2821|5236,http://www.genome.jp/kegg-bin/show_pathway?hsa00520/hsa:5236%09red/hsa:55276%09red/hsa:2821%09red
Glutathione metabolism,KEGG PATHWAY,hsa00480,3,56,0.000103449,0.000240269,50484|6241|6240,http://www.genome.jp/kegg-bin/show_pathway?hsa00480/hsa:50484%09red/hsa:6240%09red/hsa:6241%09red
Steroid hormone biosynthesis,KEGG PATHWAY,hsa00140,3,60,0.00012582,0.000283095,1544|1545|1543,http://www.genome.jp/kegg-bin/show_pathway?hsa00140/hsa:1544%09red/hsa:1545%09red/hsa:1543%09red
Adipocytokine signaling pathway,KEGG PATHWAY,hsa04920,3,69,0.000187127,0.000408277,1375|1374|126129,http://www.genome.jp/kegg-bin/show_pathway?hsa04920/hsa:1375%09red/hsa:1374%09red/hsa:126129%09red
Metabolism of xenobiotics by cytochrome P450,KEGG PATHWAY,hsa00980,3,76,0.000246243,0.000521456,1544|1545|1543,http://www.genome.jp/kegg-bin/show_pathway?hsa00980/hsa:1544%09red/hsa:1545%09red/hsa:1543%09red
Phosphatidylinositol signaling system,KEGG PATHWAY,hsa04070,3,99,0.000521498,0.001072795,5288|5287|5286,http://www.genome.jp/kegg-bin/show_pathway?hsa04070/hsa:5288%09red/hsa:5287%09red/hsa:5286%09red
Biosynthesis of unsaturated fatty acids,KEGG PATHWAY,hsa01040,2,27,0.000906026,0.001812051,79966|6319,http://www.genome.jp/kegg-bin/show_pathway?hsa01040/hsa:6319%09red/hsa:79966%09red
Linoleic acid metabolism,KEGG PATHWAY,hsa00591,2,29,0.001035654,0.002015327,1544|1557,http://www.genome.jp/kegg-bin/show_pathway?hsa00591/hsa:1557%09red/hsa:1544%09red
"Alanine, aspartate and glutamate metabolism",KEGG PATHWAY,hsa00250,2,36,0.001555016,0.002946346,56954|790,http://www.genome.jp/kegg-bin/show_pathway?hsa00250/hsa:790%09red/hsa:56954%09red
Ovarian steroidogenesis,KEGG PATHWAY,hsa04913,2,49,0.002784562,0.005140729,1545|1543,http://www.genome.jp/kegg-bin/show_pathway?hsa04913/hsa:1545%09red/hsa:1543%09red
Retinol metabolism,KEGG PATHWAY,hsa00830,2,67,0.005034153,0.009061476,1544|1543,http://www.genome.jp/kegg-bin/show_pathway?hsa00830/hsa:1544%09red/hsa:1543%09red
Thermogenesis,KEGG PATHWAY,hsa04714,3,231,0.005553373,0.00965751,1375|1374|126129,http://www.genome.jp/kegg-bin/show_pathway?hsa04714/hsa:1375%09red/hsa:1374%09red/hsa:126129%09red
Drug metabolism - cytochrome P450,KEGG PATHWAY,hsa00982,2,72,0.00576768,0.00965751,1544|1557,http://www.genome.jp/kegg-bin/show_pathway?hsa00982/hsa:1557%09red/hsa:1544%09red
p53 signaling pathway,KEGG PATHWAY,hsa04115,2,72,0.00576768,0.00965751,50484|6241,http://www.genome.jp/kegg-bin/show_pathway?hsa04115/hsa:50484%09red/hsa:6241%09red
Caffeine metabolism,KEGG PATHWAY,hsa00232,1,5,0.009125066,0.014931927,1544,http://www.genome.jp/kegg-bin/show_pathway?hsa00232/hsa:1544%09red
Glycerophospholipid metabolism,KEGG PATHWAY,hsa00564,2,97,0.010109169,0.01617467,9791|5337,http://www.genome.jp/kegg-bin/show_pathway?hsa00564/hsa:5337%09red/hsa:9791%09red
Insulin resistance,KEGG PATHWAY,hsa04931,2,108,0.012360094,0.019346235,1375|1374,http://www.genome.jp/kegg-bin/show_pathway?hsa04931/hsa:1375%09red/hsa:1374%09red
Selenocompound metabolism,KEGG PATHWAY,hsa00450,1,17,0.027130248,0.04156123,7296,http://www.genome.jp/kegg-bin/show_pathway?hsa00450/hsa:7296%09red
Pantothenate and CoA biosynthesis,KEGG PATHWAY,hsa00770,1,19,0.030099669,0.045149504,1806,http://www.genome.jp/kegg-bin/show_pathway?hsa00770/hsa:1806%09red
Proximal tubule bicarbonate reclamation,KEGG PATHWAY,hsa04964,1,23,0.036011801,0.052915299,1468,http://www.genome.jp/kegg-bin/show_pathway?hsa04964/hsa:1468%09red
Nicotinate and nicotinamide metabolism,KEGG PATHWAY,hsa00760,1,30,0.046272877,0.066632943,23530,http://www.genome.jp/kegg-bin/show_pathway?hsa00760/hsa:23530%09red
Antifolate resistance,KEGG PATHWAY,hsa01523,1,31,0.04772995,0.067383459,4524,http://www.genome.jp/kegg-bin/show_pathway?hsa01523/hsa:4524%09red
"Glycine, serine and threonine metabolism",KEGG PATHWAY,hsa00260,1,40,0.060745488,0.084109137,501,http://www.genome.jp/kegg-bin/show_pathway?hsa00260/hsa:501%09red
Ether lipid metabolism,KEGG PATHWAY,hsa00565,1,47,0.070747598,0.096109944,5337,http://www.genome.jp/kegg-bin/show_pathway?hsa00565/hsa:5337%09red
Arachidonic acid metabolism,KEGG PATHWAY,hsa00590,1,63,0.09321793,0.124290574,1557,http://www.genome.jp/kegg-bin/show_pathway?hsa00590/hsa:1557%09red
Central carbon metabolism in cancer,KEGG PATHWAY,hsa05230,1,69,0.101505822,0.132880349,5211,http://www.genome.jp/kegg-bin/show_pathway?hsa05230/hsa:5211%09red
Pancreatic cancer,KEGG PATHWAY,hsa05212,1,75,0.109719214,0.141067561,5337,http://www.genome.jp/kegg-bin/show_pathway?hsa05212/hsa:5337%09red
RNA degradation,KEGG PATHWAY,hsa03018,1,79,0.115153746,0.145457363,5211,http://www.genome.jp/kegg-bin/show_pathway?hsa03018/hsa:5211%09red
GnRH signaling pathway,KEGG PATHWAY,hsa04912,1,93,0.13391895,0.165043826,5337,http://www.genome.jp/kegg-bin/show_pathway?hsa04912/hsa:5337%09red
Fc gamma R-mediated phagocytosis,KEGG PATHWAY,hsa04666,1,94,0.135244247,0.165043826,5337,http://www.genome.jp/kegg-bin/show_pathway?hsa04666/hsa:5337%09red
Choline metabolism in cancer,KEGG PATHWAY,hsa05231,1,99,0.141840873,0.170209047,5337,http://www.genome.jp/kegg-bin/show_pathway?hsa05231/hsa:5337%09red
"Parathyroid hormone synthesis, secretion and action",KEGG PATHWAY,hsa04928,1,106,0.15099309,0.178221352,5337,http://www.genome.jp/kegg-bin/show_pathway?hsa04928/hsa:5337%09red
Glutamatergic synapse,KEGG PATHWAY,hsa04724,1,114,0.161335276,0.185850636,5337,http://www.genome.jp/kegg-bin/show_pathway?hsa04724/hsa:5337%09red
Serotonergic synapse,KEGG PATHWAY,hsa04726,1,115,0.162619307,0.185850636,1557,http://www.genome.jp/kegg-bin/show_pathway?hsa04726/hsa:1557%09red
Sphingolipid signaling pathway,KEGG PATHWAY,hsa04071,1,119,0.167736127,0.188703143,5337,http://www.genome.jp/kegg-bin/show_pathway?hsa04071/hsa:5337%09red
Pathways in cancer,KEGG PATHWAY,hsa05200,2,530,0.195049137,0.216054429,5337|7296,http://www.genome.jp/kegg-bin/show_pathway?hsa05200/hsa:7296%09red/hsa:5337%09red
Phospholipase D signaling pathway,KEGG PATHWAY,hsa04072,1,148,0.203924735,0.222463347,5337,http://www.genome.jp/kegg-bin/show_pathway?hsa04072/hsa:5337%09red
RNA transport,KEGG PATHWAY,hsa03013,1,165,0.224414591,0.241161949,11102,http://www.genome.jp/kegg-bin/show_pathway?hsa03013/hsa:11102%09red
Hepatocellular carcinoma,KEGG PATHWAY,hsa05225,1,168,0.22797622,0.241386585,7296,http://www.genome.jp/kegg-bin/show_pathway?hsa05225/hsa:7296%09red
cAMP signaling pathway,KEGG PATHWAY,hsa04024,1,214,0.280615857,0.292816547,5337,http://www.genome.jp/kegg-bin/show_pathway?hsa04024/hsa:5337%09red
Ras signaling pathway,KEGG PATHWAY,hsa04014,1,232,0.300238903,0.308817158,5337,http://www.genome.jp/kegg-bin/show_pathway?hsa04014/hsa:5337%09red
Endocytosis,KEGG PATHWAY,hsa04144,1,244,0.31302752,0.317436358,5337,http://www.genome.jp/kegg-bin/show_pathway?hsa04144/hsa:5337%09red
MicroRNAs in cancer,KEGG PATHWAY,hsa05206,1,299,0.368761882,0.368761882,1545,http://www.genome.jp/kegg-bin/show_pathway?hsa05206/hsa:1545%09red
