GO,name,definition
GO:0030677,ribonuclease P complex,"A ribonucleoprotein complex that catalyzes cleavage of the leader sequence of precursor tRNAs (pre-tRNAs), generating the mature 5' end of tRNAs."
GO:1990204,oxidoreductase complex,Any protein complex that possesses oxidoreductase activity.
GO:0005813,centrosome,"A structure comprised of a core structure (in most organisms, a pair of centrioles) and peripheral material from which a microtubule-based structure, such as a spindle apparatus, is organized. Centrosomes occur close to the nucleus during interphase in many eukaryotic cells, though in animal cells it changes continually during the cell-division cycle."
GO:0031307,integral component of mitochondrial outer membrane,The component of the mitochondrial outer membrane consisting of the gene products having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.
GO:0031430,M band,The midline of aligned thick filaments in a sarcomere; location of specific proteins that link thick filaments. Depending on muscle type the M band consists of different numbers of M lines.
GO:0031306,intrinsic component of mitochondrial outer membrane,The component of the mitochondrial outer membrane consisting of the gene products and protein complexes having either part of their peptide sequence embedded in the hydrophobic region of the membrane or some other covalently attached group such as a GPI anchor that is similarly embedded in the membrane.
GO:0019898,extrinsic component of membrane,"The component of a membrane consisting of gene products and protein complexes that are loosely bound to one of its surfaces, but not integrated into the hydrophobic region."
GO:0004550,nucleoside diphosphate kinase activity,Catalysis of the reaction: ATP + nucleoside diphosphate = ADP + nucleoside triphosphate.
GO:0004029,aldehyde dehydrogenase (NAD+) activity,Catalysis of the reaction: an aldehyde + NAD+ + H2O = an acid + NADH + H+.
GO:0004030,aldehyde dehydrogenase [NAD(P)+] activity,Catalysis of the reaction: an aldehyde + NAD(P)+ + H2O = an acid + NAD(P)H + H+.
GO:0016776,"phosphotransferase activity, phosphate group as acceptor",Catalysis of the transfer of a phosphorus-containing group from one compound (donor) to a phosphate group (acceptor).
GO:0019205,nucleobase-containing compound kinase activity,"Catalysis of the transfer of a phosphate group, usually from ATP or GTP, to a nucleobase, nucleoside, nucleotide or polynucleotide substrate."
GO:0016646,"oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor",Catalysis of an oxidation-reduction (redox) reaction in which a CH-NH group acts as a hydrogen or electron donor and reduces NAD or NADP.
GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",Catalysis of an oxidation-reduction (redox) reaction in which an aldehyde or ketone (oxo) group acts as a hydrogen or electron donor and reduces NAD or NADP.
GO:0016903,"oxidoreductase activity, acting on the aldehyde or oxo group of donors",Catalysis of an oxidation-reduction (redox) reaction in which an aldehyde or ketone (oxo) group acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.
GO:0005506,iron ion binding,Binding to an iron (Fe) ion.
GO:0016645,"oxidoreductase activity, acting on the CH-NH group of donors",Catalysis of an oxidation-reduction (redox) reaction in which a CH-NH group acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.
GO:0070330,aromatase activity,Catalysis of the reduction of an aliphatic ring to yield an aromatic ring.
GO:0016810,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","Catalysis of the hydrolysis of any carbon-nitrogen bond, C-N, with the exception of peptide bonds."
GO:0016814,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines","Catalysis of the hydrolysis of any non-peptide carbon-nitrogen bond in a cyclic amidine, a compound of the form R-C(=NH)-NH2."
GO:0016712,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","Catalysis of an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from reduced flavin or flavoprotein and one other donor, and one atom of oxygen is incorporated into one donor."
GO:0048029,monosaccharide binding,Binding to a monosaccharide. Monosaccharides are the simplest carbohydrates; they are polyhydroxy aldehydes H[CH(OH)]nC(=O)H or polyhydroxy ketones H[CHOH]nC(=O)[CHOH]mH with three or more carbon atoms. They form the constitutional repeating units of oligo- and polysaccharides.
GO:0016303,1-phosphatidylinositol-3-kinase activity,Catalysis of the reaction: 1-phosphatidyl-1D-myo-inositol + ATP = a 1-phosphatidyl-1D-myo-inositol 3-phosphate + ADP + 2 H(+).
GO:0035004,phosphatidylinositol 3-kinase activity,Catalysis of the reaction: ATP + a phosphatidylinositol = ADP + a phosphatidylinositol 3-phosphate. This reaction is the addition of a phosphate group to phosphatidylinositol or one of its phosphorylated derivatives at the 3' position of the inositol ring.
GO:0008395,steroid hydroxylase activity,Catalysis of the formation of a hydroxyl group on a steroid by incorporation of oxygen from O2.
GO:0052742,phosphatidylinositol kinase activity,Catalysis of the reaction: ATP + a phosphatidylinositol = ADP + a phosphatidylinositol phosphate.
GO:0016830,carbon-carbon lyase activity,"Catalysis of the cleavage of C-C bonds by other means than by hydrolysis or oxidation, or conversely adding a group to a double bond."
