GO,name,definition
GO:0019866,organelle inner membrane,"The inner, i.e. lumen-facing, lipid bilayer of an organelle envelope; usually highly selective to most ions and metabolites."
GO:0098798,mitochondrial protein-containing complex,A protein complex that is part of a mitochondrion.
GO:0033178,"proton-transporting two-sector ATPase complex, catalytic domain","A protein complex that forms part of a proton-transporting two-sector ATPase complex and catalyzes ATP hydrolysis or synthesis. The catalytic domain (F1, V1, or A1) comprises a hexameric catalytic core and a central stalk, and is peripherally associated with the membrane when the two-sector ATPase is assembled."
GO:0005759,mitochondrial matrix,"The gel-like material, with considerable fine structure, that lies in the matrix space, or lumen, of a mitochondrion. It contains the enzymes of the tricarboxylic acid cycle and, in some organisms, the enzymes concerned with fatty acid oxidation."
GO:0101002,ficolin-1-rich granule,"Highly exocytosable gelatinase-poor granules found in neutrophils and rich in ficolin-1.  Ficolin-1 is released from neutrophil granules by stimulation with fMLP or PMA, and the majority becomes associated with the surface membrane of the cells and can be detected by flow cytometry."
GO:1904813,ficolin-1-rich granule lumen,Any membrane-enclosed lumen that is part of a ficolin-1-rich granule.
GO:0016323,basolateral plasma membrane,"The region of the plasma membrane that includes the basal end and sides of the cell. Often used in reference to animal polarized epithelial membranes, where the basal membrane is the part attached to the extracellular matrix, or in plant cells, where the basal membrane is defined with respect to the zygotic axis."
GO:0005741,mitochondrial outer membrane,"The outer, i.e. cytoplasm-facing, lipid bilayer of the mitochondrial envelope."
GO:0009295,nucleoid,"The region of a virus, bacterial cell, mitochondrion or chloroplast to which the nucleic acid is confined."
GO:0042645,mitochondrial nucleoid,The region of a mitochondrion to which the DNA is confined.
GO:0031968,organelle outer membrane,"The outer, i.e. cytoplasm-facing in a cellular organelle, lipid bilayer of an organelle envelope."
GO:0019867,outer membrane,The external membrane of Gram-negative bacteria or certain organelles such as mitochondria and chloroplasts; freely permeable to most ions and metabolites.
GO:0046933,"proton-transporting ATP synthase activity, rotational mechanism",Enables the synthesis of ATP from ADP and phosphate by the transfer of protons from one side of a membrane to the other by a rotational mechanism driven by a gradient according to the reaction: ADP + H2O + phosphate + H+(in) -> ATP + H+(out).
GO:0015252,proton channel activity,Enables the facilitated diffusion of a hydrogen ion (by an energy-independent process) involving passage through a transmembrane aqueous pore or channel without evidence for a carrier-mediated mechanism.
GO:0015078,proton transmembrane transporter activity,Enables the transfer of a proton from one side of a membrane to the other.
GO:0016874,ligase activity,"Catalysis of the joining of two molecules, or two groups within a single molecule, using the energy from the hydrolysis of ATP, a similar triphosphate, or a pH gradient."
GO:0015077,inorganic cation transmembrane transporter activity,Enables the transfer of inorganic cations from one side of a membrane to the other. Inorganic cations are atoms or small molecules with a positive charge that do not contain carbon in covalent linkage.
GO:0005261,cation channel activity,Enables the energy-independent passage of cations across a lipid bilayer down a concentration gradient.
GO:0005216,ion channel activity,Enables the facilitated diffusion of an ion (by an energy-independent process) by passage through a transmembrane aqueous pore or channel without evidence for a carrier-mediated mechanism. May be either selective (it enables passage of a specific ion only) or non-selective (it enables passage of two or more ions of same charge but different size).
GO:0004550,nucleoside diphosphate kinase activity,Catalysis of the reaction: ATP + nucleoside diphosphate = ADP + nucleoside triphosphate.
GO:0022890,inorganic cation transmembrane transporter activity,Enables the transfer of inorganic cations from one side of a membrane to the other. Inorganic cations are atoms or small molecules with a positive charge that do not contain carbon in covalent linkage.
GO:0015267,channel activity,"Enables the energy-independent facilitated diffusion, mediated by passage of a solute through a transmembrane aqueous pore or channel. Stereospecificity is not exhibited but this transport may be specific for a particular molecular species or class of molecules."
GO:0022803,passive transmembrane transporter activity,"Enables the transfer of a single solute from one side of a membrane to the other by a mechanism involving conformational change, either by facilitated diffusion or in a membrane potential dependent process if the solute is charged."
GO:0008324,cation transmembrane transporter activity,Enables the transfer of cation from one side of a membrane to the other.
GO:0016776,"phosphotransferase activity, phosphate group as acceptor",Catalysis of the transfer of a phosphorus-containing group from one compound (donor) to a phosphate group (acceptor).
GO:0019205,nucleobase-containing compound kinase activity,"Catalysis of the transfer of a phosphate group, usually from ATP or GTP, to a nucleobase, nucleoside, nucleotide or polynucleotide substrate."
GO:0016646,"oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor",Catalysis of an oxidation-reduction (redox) reaction in which a CH-NH group acts as a hydrogen or electron donor and reduces NAD or NADP.
GO:0016866,intramolecular transferase activity,Catalysis of the transfer of a functional group from one position to another within a single molecule.
GO:1901618,organic hydroxy compound transmembrane transporter activity,Enables the transfer of organic hydroxy compound from one side of a membrane to the other.
GO:0015932,nucleobase-containing compound transmembrane transporter activity,"Enables the transfer of nucleobases, nucleosides, nucleotides and nucleic acids from one side of a membrane to the other."
GO:0043531,ADP binding,"Binding to ADP, adenosine 5'-diphosphate."
GO:0016645,"oxidoreductase activity, acting on the CH-NH group of donors",Catalysis of an oxidation-reduction (redox) reaction in which a CH-NH group acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.
