Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input
Metabolism of xenobiotics by cytochrome P450,KEGG PATHWAY,hsa00980,3,76,0.000684289,0.001582419,1544|1545|1543
Phosphatidylinositol signaling system,KEGG PATHWAY,hsa04070,3,99,0.001433616,0.003214775,5288|5287|5286
Biosynthesis of unsaturated fatty acids,KEGG PATHWAY,hsa01040,2,27,0.001804402,0.003927227,79966|6319
Linoleic acid metabolism,KEGG PATHWAY,hsa00591,2,29,0.002060832,0.004357187,1544|1557
"Alanine, aspartate and glutamate metabolism",KEGG PATHWAY,hsa00250,2,36,0.00308522,0.006341841,56954|2805
Pyruvate metabolism,KEGG PATHWAY,hsa00620,2,39,0.003583612,0.007167223,5313|5315
Type II diabetes mellitus,KEGG PATHWAY,hsa04930,2,46,0.004881624,0.00950632,5313|5315
Ovarian steroidogenesis,KEGG PATHWAY,hsa04913,2,49,0.005494708,0.010425856,1545|1543
Retinol metabolism,KEGG PATHWAY,hsa00830,2,67,0.009859533,0.018240135,1544|1543
Drug metabolism - cytochrome P450,KEGG PATHWAY,hsa00982,2,72,0.01127273,0.019861477,1544|1557
p53 signaling pathway,KEGG PATHWAY,hsa04115,2,72,0.01127273,0.019861477,50484|6241
"Phenylalanine, tyrosine and tryptophan biosynthesis",KEGG PATHWAY,hsa00400,1,5,0.012898482,0.021692902,2805
Caffeine metabolism,KEGG PATHWAY,hsa00232,1,5,0.012898482,0.021692902,1544
Insulin resistance,KEGG PATHWAY,hsa04931,2,108,0.023801021,0.039139457,1375|1374
Phenylalanine metabolism,KEGG PATHWAY,hsa00360,1,17,0.038204202,0.060151297,2805
Selenocompound metabolism,KEGG PATHWAY,hsa00450,1,17,0.038204202,0.060151297,7296
2-Oxocarboxylic acid metabolism,KEGG PATHWAY,hsa01210,1,18,0.04028384,0.062104254,2805
Pantothenate and CoA biosynthesis,KEGG PATHWAY,hsa00770,1,19,0.042359034,0.063970786,1806
Arginine biosynthesis,KEGG PATHWAY,hsa00220,1,21,0.046496128,0.068814269,2805
Proximal tubule bicarbonate reclamation,KEGG PATHWAY,hsa04964,1,23,0.050615558,0.073442183,1468
Maturity onset diabetes of the young,KEGG PATHWAY,hsa04950,1,26,0.056761748,0.080776334,5313
Nicotinate and nicotinamide metabolism,KEGG PATHWAY,hsa00760,1,30,0.06489554,0.090608867,4860
Antifolate resistance,KEGG PATHWAY,hsa01523,1,31,0.066918133,0.091702627,4524
beta-Alanine metabolism,KEGG PATHWAY,hsa00410,1,33,0.070950359,0.095460483,1806
Tyrosine metabolism,KEGG PATHWAY,hsa00350,1,36,0.076966432,0.101705642,2805
Bladder cancer,KEGG PATHWAY,hsa05219,1,41,0.08690778,0.112827644,1890
Vasopressin-regulated water reabsorption,KEGG PATHWAY,hsa04962,1,44,0.092821722,0.118427714,4905
Cysteine and methionine metabolism,KEGG PATHWAY,hsa00270,1,49,0.102594285,0.128677578,2805
Arginine and proline metabolism,KEGG PATHWAY,hsa00330,1,50,0.104536276,0.128928074,2805
Arachidonic acid metabolism,KEGG PATHWAY,hsa00590,1,63,0.129407407,0.156986034,1557
Synaptic vesicle cycle,KEGG PATHWAY,hsa04721,1,78,0.1572575,0.186858866,4905
RNA degradation,KEGG PATHWAY,hsa03018,1,79,0.159082548,0.186858866,5211
GABAergic synapse,KEGG PATHWAY,hsa04727,1,89,0.177119553,0.204794484,4905
Serotonergic synapse,KEGG PATHWAY,hsa04726,1,115,0.222245961,0.253018479,1557
Insulin signaling pathway,KEGG PATHWAY,hsa04910,1,137,0.258513096,0.289848017,5313
Non-alcoholic fatty liver disease (NAFLD),KEGG PATHWAY,hsa04932,1,149,0.277585416,0.306586877,5313
RNA transport,KEGG PATHWAY,hsa03013,1,165,0.302262926,0.328933185,11102
Hepatocellular carcinoma,KEGG PATHWAY,hsa05225,1,168,0.306796328,0.329027946,7296
Alcoholism,KEGG PATHWAY,hsa05034,1,180,0.324640668,0.343191564,2030
Viral carcinogenesis,KEGG PATHWAY,hsa05203,1,201,0.354782516,0.369773326,5315
MicroRNAs in cancer,KEGG PATHWAY,hsa05206,1,299,0.478768395,0.492067517,1545
Human papillomavirus infection,KEGG PATHWAY,hsa05165,1,330,0.512845686,0.519870969,5315
Pathways in cancer,KEGG PATHWAY,hsa05200,1,530,0.685473941,0.685473941,7296
