Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink
Purine metabolism,KEGG PATHWAY,hsa00230,13,130,5.58E-18,3.75E-17,4831|50484|4830|55276|4832|5236|5313|5315|10201|6240|6241|4860|29922,http://www.genome.jp/kegg-bin/show_pathway?hsa00230/hsa:29922%09red/hsa:4860%09red/hsa:4832%09red/hsa:50484%09red/hsa:4830%09red/hsa:5236%09red/hsa:5315%09red/hsa:10201%09red/hsa:6240%09red/hsa:6241%09red/hsa:55276%09red/hsa:4831%09red/hsa:5313%09red
Alzheimer disease,KEGG PATHWAY,hsa05010,13,171,1.57E-16,9.67E-16,2597|518|10476|498|517|522|509|506|513|515|514|539|516,http://www.genome.jp/kegg-bin/show_pathway?hsa05010/hsa:516%09red/hsa:515%09red/hsa:517%09red/hsa:2597%09red/hsa:506%09red/hsa:514%09red/hsa:513%09red/hsa:10476%09red/hsa:539%09red/hsa:498%09red/hsa:522%09red/hsa:509%09red/hsa:518%09red
"Glycine, serine and threonine metabolism",KEGG PATHWAY,hsa00260,5,40,4.50E-08,2.56E-07,5223|29968|26227|669|5224,http://www.genome.jp/kegg-bin/show_pathway?hsa00260/hsa:26227%09red/hsa:5223%09red/hsa:669%09red/hsa:29968%09red/hsa:5224%09red
Glucagon signaling pathway,KEGG PATHWAY,hsa04922,6,106,1.58E-07,8.36E-07,5223|5315|5224|1375|1374|126129,http://www.genome.jp/kegg-bin/show_pathway?hsa04922/hsa:126129%09red/hsa:1375%09red/hsa:1374%09red/hsa:5224%09red/hsa:5315%09red/hsa:5223%09red
HIF-1 signaling pathway,KEGG PATHWAY,hsa04066,6,109,1.85E-07,9.13E-07,2597|5230|5232|2026|2027|2023,http://www.genome.jp/kegg-bin/show_pathway?hsa04066/hsa:2023%09red/hsa:2026%09red/hsa:2027%09red/hsa:2597%09red/hsa:5232%09red/hsa:5230%09red
One carbon pool by folate,KEGG PATHWAY,hsa00670,4,20,1.99E-07,9.21E-07,10797|4524|441024|4522,http://www.genome.jp/kegg-bin/show_pathway?hsa00670/hsa:441024%09red/hsa:4522%09red/hsa:4524%09red/hsa:10797%09red
Fatty acid metabolism,KEGG PATHWAY,hsa01212,5,57,2.32E-07,1.01E-06,79966|6319|1375|1374|126129,http://www.genome.jp/kegg-bin/show_pathway?hsa01212/hsa:6319%09red/hsa:1375%09red/hsa:1374%09red/hsa:126129%09red/hsa:79966%09red
Pentose phosphate pathway,KEGG PATHWAY,hsa00030,4,30,8.55E-07,3.46E-06,55276|22934|5236|51071,http://www.genome.jp/kegg-bin/show_pathway?hsa00030/hsa:55276%09red/hsa:5236%09red/hsa:22934%09red/hsa:51071%09red
PPAR signaling pathway,KEGG PATHWAY,hsa03320,5,76,8.89E-07,3.46E-06,79966|6319|1375|1374|126129,http://www.genome.jp/kegg-bin/show_pathway?hsa03320/hsa:6319%09red/hsa:1375%09red/hsa:1374%09red/hsa:126129%09red/hsa:79966%09red
AMPK signaling pathway,KEGG PATHWAY,hsa04152,5,120,7.56E-06,2.80E-05,79966|6319|1375|1374|126129,http://www.genome.jp/kegg-bin/show_pathway?hsa04152/hsa:6319%09red/hsa:1375%09red/hsa:1374%09red/hsa:126129%09red/hsa:79966%09red
Central carbon metabolism in cancer,KEGG PATHWAY,hsa05230,4,69,1.88E-05,6.64E-05,5223|9123|5315|5224,http://www.genome.jp/kegg-bin/show_pathway?hsa05230/hsa:5315%09red/hsa:9123%09red/hsa:5223%09red/hsa:5224%09red
Chemical carcinogenesis,KEGG PATHWAY,hsa05204,4,82,3.60E-05,0.00012103,1544|1545|1543|1557,http://www.genome.jp/kegg-bin/show_pathway?hsa05204/hsa:1557%09red/hsa:1545%09red/hsa:1544%09red/hsa:1543%09red
Tryptophan metabolism,KEGG PATHWAY,hsa00380,3,42,0.000125006,0.000402192,1544|1545|1543,http://www.genome.jp/kegg-bin/show_pathway?hsa00380/hsa:1544%09red/hsa:1545%09red/hsa:1543%09red
Fatty acid degradation,KEGG PATHWAY,hsa00071,3,44,0.000142405,0.000439083,1375|1374|126129,http://www.genome.jp/kegg-bin/show_pathway?hsa00071/hsa:1375%09red/hsa:1374%09red/hsa:126129%09red
Glutathione metabolism,KEGG PATHWAY,hsa00480,3,56,0.000280278,0.000829623,50484|6241|6240,http://www.genome.jp/kegg-bin/show_pathway?hsa00480/hsa:50484%09red/hsa:6240%09red/hsa:6241%09red
Steroid hormone biosynthesis,KEGG PATHWAY,hsa00140,3,60,0.00034027,0.000968461,1544|1545|1543,http://www.genome.jp/kegg-bin/show_pathway?hsa00140/hsa:1544%09red/hsa:1545%09red/hsa:1543%09red
Adipocytokine signaling pathway,KEGG PATHWAY,hsa04920,3,69,0.000504011,0.001381364,1375|1374|126129,http://www.genome.jp/kegg-bin/show_pathway?hsa04920/hsa:1375%09red/hsa:1374%09red/hsa:126129%09red
Metabolism of xenobiotics by cytochrome P450,KEGG PATHWAY,hsa00980,3,76,0.000661138,0.001747294,1544|1545|1543,http://www.genome.jp/kegg-bin/show_pathway?hsa00980/hsa:1544%09red/hsa:1545%09red/hsa:1543%09red
RNA degradation,KEGG PATHWAY,hsa03018,3,79,0.000737,0.001880621,2026|2027|2023,http://www.genome.jp/kegg-bin/show_pathway?hsa03018/hsa:2023%09red/hsa:2026%09red/hsa:2027%09red
Biosynthesis of unsaturated fatty acids,KEGG PATHWAY,hsa01040,2,27,0.001762837,0.004348332,79966|6319,http://www.genome.jp/kegg-bin/show_pathway?hsa01040/hsa:6319%09red/hsa:79966%09red
Linoleic acid metabolism,KEGG PATHWAY,hsa00591,2,29,0.002013428,0.004806247,1544|1557,http://www.genome.jp/kegg-bin/show_pathway?hsa00591/hsa:1557%09red/hsa:1544%09red
Galactose metabolism,KEGG PATHWAY,hsa00052,2,31,0.002279893,0.005272251,55276|5236,http://www.genome.jp/kegg-bin/show_pathway?hsa00052/hsa:55276%09red/hsa:5236%09red
Starch and sucrose metabolism,KEGG PATHWAY,hsa00500,2,36,0.003014607,0.006760028,55276|5236,http://www.genome.jp/kegg-bin/show_pathway?hsa00500/hsa:55276%09red/hsa:5236%09red
Pyruvate metabolism,KEGG PATHWAY,hsa00620,2,39,0.003501768,0.007621494,5313|5315,http://www.genome.jp/kegg-bin/show_pathway?hsa00620/hsa:5315%09red/hsa:5313%09red
Type II diabetes mellitus,KEGG PATHWAY,hsa04930,2,46,0.004770693,0.009968061,5313|5315,http://www.genome.jp/kegg-bin/show_pathway?hsa04930/hsa:5315%09red/hsa:5313%09red
Amino sugar and nucleotide sugar metabolism,KEGG PATHWAY,hsa00520,2,48,0.005166649,0.009968061,55276|5236,http://www.genome.jp/kegg-bin/show_pathway?hsa00520/hsa:55276%09red/hsa:5236%09red
Cellular senescence,KEGG PATHWAY,hsa04218,3,160,0.005209263,0.009968061,292|293|291,http://www.genome.jp/kegg-bin/show_pathway?hsa04218/hsa:291%09red/hsa:292%09red/hsa:293%09red
Ovarian steroidogenesis,KEGG PATHWAY,hsa04913,2,49,0.005370113,0.009968061,1545|1543,http://www.genome.jp/kegg-bin/show_pathway?hsa04913/hsa:1545%09red/hsa:1543%09red
Cysteine and methionine metabolism,KEGG PATHWAY,hsa00270,2,49,0.005370113,0.009968061,29968|26227,http://www.genome.jp/kegg-bin/show_pathway?hsa00270/hsa:26227%09red/hsa:29968%09red
Necroptosis,KEGG PATHWAY,hsa04217,3,162,0.005388141,0.009968061,292|293|291,http://www.genome.jp/kegg-bin/show_pathway?hsa04217/hsa:291%09red/hsa:292%09red/hsa:293%09red
Influenza A,KEGG PATHWAY,hsa05164,3,167,0.005851389,0.010309591,292|293|291,http://www.genome.jp/kegg-bin/show_pathway?hsa05164/hsa:291%09red/hsa:292%09red/hsa:293%09red
cGMP-PKG signaling pathway,KEGG PATHWAY,hsa04022,3,167,0.005851389,0.010309591,292|293|291,http://www.genome.jp/kegg-bin/show_pathway?hsa04022/hsa:291%09red/hsa:292%09red/hsa:293%09red
Calcium signaling pathway,KEGG PATHWAY,hsa04020,3,193,0.008640163,0.014869117,292|293|291,http://www.genome.jp/kegg-bin/show_pathway?hsa04020/hsa:291%09red/hsa:292%09red/hsa:293%09red
Retinol metabolism,KEGG PATHWAY,hsa00830,2,67,0.009638846,0.016210787,1544|1543,http://www.genome.jp/kegg-bin/show_pathway?hsa00830/hsa:1544%09red/hsa:1543%09red
Drug metabolism - cytochrome P450,KEGG PATHWAY,hsa00982,2,72,0.011021323,0.017729955,1544|1557,http://www.genome.jp/kegg-bin/show_pathway?hsa00982/hsa:1557%09red/hsa:1544%09red
p53 signaling pathway,KEGG PATHWAY,hsa04115,2,72,0.011021323,0.017729955,50484|6241,http://www.genome.jp/kegg-bin/show_pathway?hsa04115/hsa:50484%09red/hsa:6241%09red
Human T-cell leukemia virus 1 infection,KEGG PATHWAY,hsa05166,3,219,0.012090784,0.019036553,292|293|291,http://www.genome.jp/kegg-bin/show_pathway?hsa05166/hsa:291%09red/hsa:292%09red/hsa:293%09red
Caffeine metabolism,KEGG PATHWAY,hsa00232,1,5,0.012747868,0.019652963,1544,http://www.genome.jp/kegg-bin/show_pathway?hsa00232/hsa:1544%09red
Vitamin B6 metabolism,KEGG PATHWAY,hsa00750,1,6,0.014856844,0.022436867,29968,http://www.genome.jp/kegg-bin/show_pathway?hsa00750/hsa:29968%09red
Insulin resistance,KEGG PATHWAY,hsa04931,2,108,0.02328397,0.034460276,1375|1374,http://www.genome.jp/kegg-bin/show_pathway?hsa04931/hsa:1375%09red/hsa:1374%09red
Selenocompound metabolism,KEGG PATHWAY,hsa00450,1,17,0.037763808,0.054794546,7296,http://www.genome.jp/kegg-bin/show_pathway?hsa00450/hsa:7296%09red
Pantothenate and CoA biosynthesis,KEGG PATHWAY,hsa00770,1,19,0.041871797,0.059586787,1806,http://www.genome.jp/kegg-bin/show_pathway?hsa00770/hsa:1806%09red
Proximal tubule bicarbonate reclamation,KEGG PATHWAY,hsa04964,1,23,0.050035855,0.069861383,1468,http://www.genome.jp/kegg-bin/show_pathway?hsa04964/hsa:1468%09red
Maturity onset diabetes of the young,KEGG PATHWAY,hsa04950,1,26,0.056113755,0.076896627,5313,http://www.genome.jp/kegg-bin/show_pathway?hsa04950/hsa:5313%09red
Nicotinate and nicotinamide metabolism,KEGG PATHWAY,hsa00760,1,30,0.064157888,0.086321522,4860,http://www.genome.jp/kegg-bin/show_pathway?hsa00760/hsa:4860%09red
Antifolate resistance,KEGG PATHWAY,hsa01523,1,31,0.066158314,0.087423486,4524,http://www.genome.jp/kegg-bin/show_pathway?hsa01523/hsa:4524%09red
Fructose and mannose metabolism,KEGG PATHWAY,hsa00051,1,33,0.070146499,0.089497257,7167,http://www.genome.jp/kegg-bin/show_pathway?hsa00051/hsa:7167%09red
beta-Alanine metabolism,KEGG PATHWAY,hsa00410,1,33,0.070146499,0.089497257,1806,http://www.genome.jp/kegg-bin/show_pathway?hsa00410/hsa:1806%09red
Bladder cancer,KEGG PATHWAY,hsa05219,1,41,0.085931633,0.107778659,1890,http://www.genome.jp/kegg-bin/show_pathway?hsa05219/hsa:1890%09red
Vasopressin-regulated water reabsorption,KEGG PATHWAY,hsa04962,1,44,0.091782545,0.113198472,4905,http://www.genome.jp/kegg-bin/show_pathway?hsa04962/hsa:4905%09red
Arachidonic acid metabolism,KEGG PATHWAY,hsa00590,1,63,0.127988384,0.155264597,1557,http://www.genome.jp/kegg-bin/show_pathway?hsa00590/hsa:1557%09red
Inositol phosphate metabolism,KEGG PATHWAY,hsa00562,1,74,0.148293891,0.176995934,7167,http://www.genome.jp/kegg-bin/show_pathway?hsa00562/hsa:7167%09red
Synaptic vesicle cycle,KEGG PATHWAY,hsa04721,1,78,0.15556128,0.182722773,4905,http://www.genome.jp/kegg-bin/show_pathway?hsa04721/hsa:4905%09red
GABAergic synapse,KEGG PATHWAY,hsa04727,1,89,0.175232165,0.20261219,4905,http://www.genome.jp/kegg-bin/show_pathway?hsa04727/hsa:4905%09red
Serotonergic synapse,KEGG PATHWAY,hsa04726,1,115,0.219945207,0.250399159,1557,http://www.genome.jp/kegg-bin/show_pathway?hsa04726/hsa:1557%09red
Insulin signaling pathway,KEGG PATHWAY,hsa04910,1,137,0.25590216,0.286920604,5313,http://www.genome.jp/kegg-bin/show_pathway?hsa04910/hsa:5313%09red
Non-alcoholic fatty liver disease (NAFLD),KEGG PATHWAY,hsa04932,1,149,0.274819593,0.303532087,5313,http://www.genome.jp/kegg-bin/show_pathway?hsa04932/hsa:5313%09red
RNA transport,KEGG PATHWAY,hsa03013,1,165,0.299305432,0.325714735,11102,http://www.genome.jp/kegg-bin/show_pathway?hsa03013/hsa:11102%09red
Hepatocellular carcinoma,KEGG PATHWAY,hsa05225,1,168,0.303804718,0.325819553,7296,http://www.genome.jp/kegg-bin/show_pathway?hsa05225/hsa:7296%09red
Alcoholism,KEGG PATHWAY,hsa05034,1,180,0.321518158,0.339890624,2030,http://www.genome.jp/kegg-bin/show_pathway?hsa05034/hsa:2030%09red
Viral carcinogenesis,KEGG PATHWAY,hsa05203,1,201,0.351451467,0.366301529,5315,http://www.genome.jp/kegg-bin/show_pathway?hsa05203/hsa:5315%09red
MicroRNAs in cancer,KEGG PATHWAY,hsa05206,1,299,0.4747619,0.487949731,1545,http://www.genome.jp/kegg-bin/show_pathway?hsa05206/hsa:1545%09red
Human papillomavirus infection,KEGG PATHWAY,hsa05165,1,330,0.508710908,0.51567955,5315,http://www.genome.jp/kegg-bin/show_pathway?hsa05165/hsa:5315%09red
Pathways in cancer,KEGG PATHWAY,hsa05200,1,530,0.681169252,0.681169252,7296,http://www.genome.jp/kegg-bin/show_pathway?hsa05200/hsa:7296%09red
