GO,name,definition
GO:0022890,inorganic cation transmembrane transporter activity,Enables the transfer of inorganic cations from one side of a membrane to the other. Inorganic cations are atoms or small molecules with a positive charge that do not contain carbon in covalent linkage.
GO:0008324,cation transmembrane transporter activity,Enables the transfer of cation from one side of a membrane to the other.
GO:0005261,cation channel activity,Enables the energy-independent passage of cations across a lipid bilayer down a concentration gradient.
GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",Catalysis of an oxidation-reduction (redox) reaction in which an aldehyde or ketone (oxo) group acts as a hydrogen or electron donor and reduces NAD or NADP.
GO:0004550,nucleoside diphosphate kinase activity,Catalysis of the reaction: ATP + nucleoside diphosphate = ADP + nucleoside triphosphate.
GO:0005216,ion channel activity,Enables the facilitated diffusion of an ion (by an energy-independent process) by passage through a transmembrane aqueous pore or channel without evidence for a carrier-mediated mechanism. May be either selective (it enables passage of a specific ion only) or non-selective (it enables passage of two or more ions of same charge but different size).
GO:0016903,"oxidoreductase activity, acting on the aldehyde or oxo group of donors",Catalysis of an oxidation-reduction (redox) reaction in which an aldehyde or ketone (oxo) group acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.
GO:0004029,aldehyde dehydrogenase (NAD+) activity,Catalysis of the reaction: an aldehyde + NAD+ + H2O = an acid + NADH + H+.
GO:0004030,aldehyde dehydrogenase [NAD(P)+] activity,Catalysis of the reaction: an aldehyde + NAD(P)+ + H2O = an acid + NAD(P)H + H+.
GO:0015267,channel activity,"Enables the energy-independent facilitated diffusion, mediated by passage of a solute through a transmembrane aqueous pore or channel. Stereospecificity is not exhibited but this transport may be specific for a particular molecular species or class of molecules."
GO:0022803,passive transmembrane transporter activity,"Enables the transfer of a single solute from one side of a membrane to the other by a mechanism involving conformational change, either by facilitated diffusion or in a membrane potential dependent process if the solute is charged."
GO:0016776,"phosphotransferase activity, phosphate group as acceptor",Catalysis of the transfer of a phosphorus-containing group from one compound (donor) to a phosphate group (acceptor).
GO:0019205,nucleobase-containing compound kinase activity,"Catalysis of the transfer of a phosphate group, usually from ATP or GTP, to a nucleobase, nucleoside, nucleotide or polynucleotide substrate."
GO:0016646,"oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor",Catalysis of an oxidation-reduction (redox) reaction in which a CH-NH group acts as a hydrogen or electron donor and reduces NAD or NADP.
GO:0016829,lyase activity,"Catalysis of the cleavage of C-C, C-O, C-N and other bonds by other means than by hydrolysis or oxidation, or conversely adding a group to a double bond. They differ from other enzymes in that two substrates are involved in one reaction direction, but only one in the other direction. When acting on the single substrate, a molecule is eliminated and this generates either a new double bond or a new ring."
