GO,name,definition
GO:0046933,"proton-transporting ATP synthase activity, rotational mechanism",Enables the synthesis of ATP from ADP and phosphate by the transfer of protons from one side of a membrane to the other by a rotational mechanism driven by a gradient according to the reaction: ADP + H2O + phosphate + H+(in) -> ATP + H+(out).
GO:0015252,proton channel activity,Enables the facilitated diffusion of a hydrogen ion (by an energy-independent process) involving passage through a transmembrane aqueous pore or channel without evidence for a carrier-mediated mechanism.
GO:0015078,proton transmembrane transporter activity,Enables the transfer of a proton from one side of a membrane to the other.
GO:0016874,ligase activity,"Catalysis of the joining of two molecules, or two groups within a single molecule, using the energy from the hydrolysis of ATP, a similar triphosphate, or a pH gradient."
GO:0015077,inorganic cation transmembrane transporter activity,Enables the transfer of inorganic cations from one side of a membrane to the other. Inorganic cations are atoms or small molecules with a positive charge that do not contain carbon in covalent linkage.
GO:0005261,cation channel activity,Enables the energy-independent passage of cations across a lipid bilayer down a concentration gradient.
GO:0004550,nucleoside diphosphate kinase activity,Catalysis of the reaction: ATP + nucleoside diphosphate = ADP + nucleoside triphosphate.
GO:0005216,ion channel activity,Enables the facilitated diffusion of an ion (by an energy-independent process) by passage through a transmembrane aqueous pore or channel without evidence for a carrier-mediated mechanism. May be either selective (it enables passage of a specific ion only) or non-selective (it enables passage of two or more ions of same charge but different size).
GO:0022890,inorganic cation transmembrane transporter activity,Enables the transfer of inorganic cations from one side of a membrane to the other. Inorganic cations are atoms or small molecules with a positive charge that do not contain carbon in covalent linkage.
GO:0015267,channel activity,"Enables the energy-independent facilitated diffusion, mediated by passage of a solute through a transmembrane aqueous pore or channel. Stereospecificity is not exhibited but this transport may be specific for a particular molecular species or class of molecules."
GO:0022803,passive transmembrane transporter activity,"Enables the transfer of a single solute from one side of a membrane to the other by a mechanism involving conformational change, either by facilitated diffusion or in a membrane potential dependent process if the solute is charged."
GO:0008324,cation transmembrane transporter activity,Enables the transfer of cation from one side of a membrane to the other.
GO:0019205,nucleobase-containing compound kinase activity,"Catalysis of the transfer of a phosphate group, usually from ATP or GTP, to a nucleobase, nucleoside, nucleotide or polynucleotide substrate."
GO:0016830,carbon-carbon lyase activity,"Catalysis of the cleavage of C-C bonds by other means than by hydrolysis or oxidation, or conversely adding a group to a double bond."
GO:0048029,monosaccharide binding,Binding to a monosaccharide. Monosaccharides are the simplest carbohydrates; they are polyhydroxy aldehydes H[CH(OH)]nC(=O)H or polyhydroxy ketones H[CHOH]nC(=O)[CHOH]mH with three or more carbon atoms. They form the constitutional repeating units of oligo- and polysaccharides.
GO:0016776,"phosphotransferase activity, phosphate group as acceptor",Catalysis of the transfer of a phosphorus-containing group from one compound (donor) to a phosphate group (acceptor).
GO:0016646,"oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor",Catalysis of an oxidation-reduction (redox) reaction in which a CH-NH group acts as a hydrogen or electron donor and reduces NAD or NADP.
GO:1901618,organic hydroxy compound transmembrane transporter activity,Enables the transfer of organic hydroxy compound from one side of a membrane to the other.
GO:0016645,"oxidoreductase activity, acting on the CH-NH group of donors",Catalysis of an oxidation-reduction (redox) reaction in which a CH-NH group acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.
GO:0005342,organic acid transmembrane transporter activity,Enables the transfer of organic acids from one side of a membrane to the other. Organic acids are acidic compound containing carbon in covalent linkage.
